Wall time,Step,Value
1720620036.206301,0,329.1640625
1720620703.592432,1,275.9983215332031
1720621239.45172,2,237.90052795410156
1720621750.351172,3,107.04647064208984
1720622266.688439,4,83.09053039550781
1720622794.88364,5,78.6309814453125
1720623313.757616,6,75.45877075195312
1720623852.68066,7,74.16200256347656
1720624381.241699,8,72.47160339355469
1720624923.096441,9,71.27831268310547
1720625472.453774,10,71.4194107055664
1720626012.019813,11,68.6094741821289
1720626558.405264,12,69.1293716430664
1720627096.295123,13,68.31778717041016
1720627644.451085,14,67.1473388671875
1720628175.504015,15,61.4260368347168
1720628700.309731,16,57.41319274902344
1720629256.988774,17,56.26694107055664
1720629795.406272,18,55.6010627746582
1720630321.516081,19,54.931297302246094
1720630863.985169,20,53.95123291015625
1720631414.515076,21,53.48248291015625
1720631958.59551,22,53.1740837097168
1720632495.384734,23,52.580108642578125
1720633036.482294,24,52.138328552246094
1720633569.681761,25,51.54736328125
1720634111.413078,26,51.439300537109375
1720634662.059934,27,51.062801361083984
1720635196.586485,28,50.71198272705078
1720635722.724982,29,50.98945999145508
1720636260.764884,30,50.761661529541016
1720636798.359663,31,50.47514724731445
1720637328.200965,32,50.01041030883789
1720637862.842544,33,50.22887420654297
1720638406.430119,34,49.60669708251953
1720638939.453518,35,49.00743865966797
1720639462.575167,36,48.76637268066406
1720639989.784724,37,47.05909729003906
1720640529.423635,38,46.52268981933594
1720641063.005891,39,46.27137756347656
1721656245.129485,0,366.45037841796875
1721656749.787012,1,317.7164306640625
1721657261.09634,2,297.47344970703125
1721657769.004171,3,291.232177734375
1721658278.469004,4,226.8674774169922
1721658786.376298,5,125.12054443359375
1721659293.526821,6,113.77897644042969
1721659798.821277,7,110.03690338134766
1721660302.860515,8,107.02899169921875
1721660814.702691,9,104.86408996582031
1721661325.670213,10,103.0757827758789
1721661830.840063,11,101.4288330078125
1721662336.796984,12,99.88756561279297
1721662838.004115,13,98.16915893554688
1721663336.919765,14,94.63908386230469
1721663845.096559,15,80.02841186523438
1721664349.32115,16,66.70527648925781
1721664846.242717,17,62.34233856201172
1721665330.072531,18,60.38725662231445
1721665803.092501,19,58.83846664428711
1721666269.76557,20,58.196632385253906
1721666730.644344,21,58.03245162963867
1721667186.56248,22,57.08063888549805
1721667636.027165,23,56.332054138183594
1721668088.794215,24,55.819358825683594
1721668539.837644,25,55.31398010253906
1721668990.371972,26,54.92287063598633
1721669442.769922,27,54.49734115600586
1721669891.569506,28,54.193214416503906
1721670343.9297,29,53.53764724731445
1721670792.562712,30,53.308250427246094
1721671242.722236,31,52.798458099365234
1721671697.383881,32,52.45052719116211
1721672157.093056,33,52.328125
1721672620.376565,34,52.08108139038086
1721673075.988045,35,51.605159759521484
1721673527.458947,36,51.36216735839844
1721673974.261375,37,50.80457305908203
1721674423.901512,38,50.56982421875
1721674872.448662,39,50.61324691772461
1721675321.20123,40,50.524776458740234
1721675763.09788,41,50.146331787109375
1721676207.135408,42,48.106571197509766
1721676652.249604,43,47.62657928466797
1721677094.860837,44,47.167877197265625
1721677538.944,45,46.86357116699219
1721677981.000822,46,46.48246765136719
1721678425.560111,47,46.29769515991211
1721678869.862776,48,46.00868225097656
1721679313.169852,49,45.83626937866211
